Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
OpenCodeReasoning-Nemotron-32B-IOI,2,12,210.0,210.0,17.5,23.49,8.334999999999999,0,0,0,0,26.619343389529725,25
gpt-4.1,2,12,203.0,203.0,16.915,24.939999999999998,8.334999999999999,0,0,0,0,25.74312333629104,20
deepseek-chat,2,12,201.0,201.0,16.75,24.530000000000005,8.334999999999999,0,0,0,0,25.46583850931677,21
Qwen3-8B,2,12,170.0,170.0,14.165000000000001,20.929999999999996,8.334999999999999,0,0,0,0,21.92768411712511,23
Qwen3-32B-Non-Thinking,2,12,108.0,108.0,9.0,11.09,8.334999999999999,0,0,0,0,14.862466725820763,29
QwQ-32B,2,12,229.0,229.0,19.085,24.815,8.334999999999999,0,0,1,1,32.797249334516415,15
DeepSeek-R1-Distill-Llama-70B,2,12,139.0,139.0,11.585,18.799999999999997,8.334999999999999,0,0,0,0,18.09006211180124,24
OlympicCoder-7B,2,12,133.0,133.0,11.079999999999998,18.855,8.334999999999999,0,0,0,0,18.600266193433896,32
Llama-3.3-70B-Instruct,2,12,133.0,133.0,11.084999999999999,18.43,0.0,0,0,0,0,18.35625554569654,25
DeepSeek-R1-Distill-Qwen-32B,2,12,180.0,180.0,15.0,19.94,8.334999999999999,0,0,0,0,23.96850044365572,22
seed-oss_4096,2,12,119.0,119.0,9.915,12.73,8.334999999999999,0,0,0,0,14.862466725820763,26
seed-oss_2048,2,12,111.0,111.0,9.25,12.33,8.334999999999999,0,0,0,0,14.862466725820763,27
seed-oss_1024,2,12,111.0,111.0,9.25,12.049999999999999,8.334999999999999,0,0,0,0,14.862466725820763,28
Qwen2.5-72B,2,12,83.0,83.0,6.915,13.13,0.0,0,0,0,0,12.477817213842059,30
Qwen2.5-Coder-14B-Instruct,2,12,73.0,73.0,6.080000000000001,11.265,0.0,0,0,0,0,10.437000887311447,31
Qwen3-14B-Non-Thinking,2,12,71.0,71.0,5.915,9.944999999999999,0.0,0,0,0,0,10.437000887311447,32
Mistral-Large-Instruct-2411,2,12,34.0,34.0,2.83,9.885,0.0,0,0,0,0,7.885980479148181,36
DeepSeek-R1-Distill-Llama-8B,2,12,24.0,24.0,2.0,4.455,0.0,0,0,0,0,4.148181011535049,40
Qwen3-8B-Non-Thinking,2,12,24.0,24.0,2.0,6.860000000000001,0.0,0,0,0,0,4.148181011535049,41
seed-oss_512,2,12,38.0,38.0,3.1650000000000005,5.74,0.0,0,0,0,0,5.1685891748003545,35
Codestral-22B-v0.1,2,12,7.0,7.0,0.585,4.59,0.0,0,0,0,0,2.6175687666370893,43
DeepSeek-R1-Distill-Qwen-14B,2,12,51.0,51.0,4.25,7.95,0.0,0,0,0,0,7.885980479148181,33
Mistral-Small-3.1-24B-2503,2,12,29.0,29.0,2.415,7.61,0.0,0,0,0,0,6.865572315882875,37
Llama-4-Scout,2,12,27.0,27.0,2.25,6.1,0.0,0,0,0,0,6.421916592724046,39
Qwen2.5-Coder-7B-Instruct,2,12,7.0,7.0,0.585,5.0,0.0,0,0,0,0,2.6175687666370893,44
Qwen3-4B-Non-Thinking,2,12,29.0,29.0,2.415,7.5200000000000005,0.0,0,0,0,0,6.865572315882875,38
DeepSeek-Coder-V2-Lite-Instruct,2,12,7.0,7.0,0.585,6.335,0.0,0,0,0,0,2.6175687666370893,45
Qwen2.5-Coder-32B-Instruct,2,12,43.0,43.0,3.5849999999999995,10.315000000000001,0.0,0,0,0,0,9.039485359361136,34
seed-oss_0,2,12,11.0,11.0,0.915,4.335,0.0,0,0,0,0,2.6175687666370893,42
Qwen3-30B-Non-Thinking,2,12,5.0,5.0,0.415,5.46,0.0,0,0,0,0,5.334960070984915,46
DeepSeek-R1-Distill-Qwen-7B,2,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.6175687666370893,47
Llama-3.1-8B-Instruct,2,12,0.0,0.0,0.0,1.86,0.0,0,0,0,0,2.6175687666370893,48
