Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
Mistral-Small-3.1-24B-2503,3,18,21.0,21.0,1.1666666666666667,7.256666666666667,0.0,0,0,0,0,2.631578947368421,34
Qwen3-14B-Non-Thinking,3,18,21.0,21.0,1.1666666666666667,5.266666666666667,0.0,0,0,0,0,2.631578947368421,36
deepseek-chat,3,18,21.0,21.0,1.1666666666666667,16.333333333333332,0.0,0,0,0,0,2.217348927875244,37
Qwen3-8B-Non-Thinking,3,18,11.0,11.0,0.61,5.11,0.0,0,0,0,0,0.46296296296296297,38
OpenCodeReasoning-Nemotron-32B-IOI,3,18,20.0,20.0,1.1133333333333333,15.660000000000002,0.0,0,0,0,0,1.388888888888889,47
Codestral-22B-v0.1,3,18,9.0,9.0,0.5,3.7566666666666664,0.0,0,0,0,0,0.0,40
DeepSeek-Coder-V2-Lite-Instruct,3,18,9.0,9.0,0.5,5.7700000000000005,0.0,0,0,0,0,0.0,41
seed-oss_0,3,18,1.0,1.0,0.05666666666666667,3.7633333333333336,0.0,0,0,0,0,0.0,42
DeepSeek-R1-Distill-Qwen-7B,3,18,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,43
seed-oss_2048,3,18,11.0,11.0,0.61,5.133333333333333,0.0,0,0,0,0,0.0,39
seed-oss_1024,3,18,0.0,0.0,0.0,2.42,0.0,0,0,0,0,0.0,44
DeepSeek-R1-Distill-Llama-8B,3,18,0.0,0.0,0.0,0.7033333333333333,0.0,0,0,0,0,0.0,45
Qwen2.5-Coder-7B-Instruct,3,18,0.0,0.0,0.0,2.4099999999999997,0.0,0,0,0,0,0.0,46
Llama-3.1-8B-Instruct,3,18,0.0,0.0,0.0,2.183333333333333,0.0,0,0,0,0,0.0,47
seed-oss_512,3,18,0.0,0.0,0.0,4.47,0.0,0,0,0,0,0.0,48
