Rank,Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Count,Avg Human Percentile,Avg Human Percentile (Competition)
9,seed-oss_-1,13,68,2033.0,2033.0,29.89529411764706,48.17617647058823,16.17705882352941,0,3,3,6,9,47.92772003373523,41.96152722303652
10,gemini-2.5-flash,13,68,2000.0,2000.0,29.41176470588235,47.63985294117647,11.765588235294118,0,3,3,6,9,47.89544565109466,43.475360006038876
11,gpt-oss-120b-low,13,68,1694.0,1694.0,24.911323529411764,38.421323529411765,15.686470588235292,0,2,4,6,9,41.900633395173045,38.32246128502279
12,seed-oss_8192,13,68,1453.0,1453.0,21.368235294117646,32.99499999999999,11.764999999999999,0,1,3,4,9,34.571494978581754,30.85944109365366
13,Qwen3-32B,13,68,1394.0,1394.0,20.50029411764706,39.08014705882352,7.353382352941177,1,0,2,3,9,34.90515675305587,31.364391316923008
15,gpt-oss-20b-low,13,68,1156.0,1156.0,17.001323529411764,28.839705882352938,11.764999999999999,0,1,2,3,9,26.90002136425863,25.73427550736766
14,Qwen3-30B,13,68,1220.0,1220.0,17.940882352941177,32.993529411764705,10.048970588235294,0,1,2,3,9,30.794562583539133,27.52659972137581
18,deepseek-reasoner,13,68,1321.0,1321.0,19.42529411764706,34.54558823529412,8.823529411764707,1,0,1,2,9,29.858051098421647,30.224018974647436
20,Qwen3-14B,13,68,1011.0,1011.0,14.867941176470588,30.62779411764706,7.353088235294117,0,1,1,2,9,25.730479751986334,24.42801151435671
16,seed-oss_4096,13,68,729.0,729.0,10.72014705882353,18.283676470588237,5.88235294117647,0,0,3,3,9,20.076526006439362,18.75440300834253
17,gpt-4.1,13,68,1083.0,1083.0,15.926470588235293,31.25882352941176,7.352941176470589,1,1,0,2,9,27.053652148773814,21.468777458574774
26,OlympicCoder-7B,14,74,885.0,885.0,12.162162162162161,21.077162162162168,9.234054054054054,1,0,1,2,10,20.382596221184123,18.662161725117663
19,DeepSeek-R1-Distill-Llama-70B,13,68,1031.0,1031.0,15.161911764705883,27.633823529411767,7.353088235294117,0,1,1,2,9,24.299540089464553,22.960866025172603
27,Qwen3-8B,13,68,1028.0,1028.0,15.117941176470588,28.644558823529415,7.107205882352942,0,0,1,1,9,26.215837545699987,24.667165533892586
21,QwQ-32B,13,68,875.0,875.0,12.867941176470588,26.229558823529413,5.882205882352942,0,0,2,2,9,19.24739035315776,16.064080489006603
30,OpenCodeReasoning-Nemotron-32B-IOI,14,74,739.0,739.0,11.24418918918919,23.37,7.432702702702702,0,0,2,2,10,19.10046920830678,18.97289427262391
23,Mistral-Large-Instruct-2411,13,68,486.0,486.0,7.1477941176470585,18.805000000000003,4.412058823529412,0,0,2,2,9,14.040751252832571,13.594327098781744
22,seed-oss_2048,13,68,512.0,512.0,7.528823529411764,15.580882352941178,4.4119117647058825,0,0,2,2,9,15.896044785912743,15.355031914922913
24,Qwen2.5-Coder-14B-Instruct,13,68,479.0,479.0,7.044264705882353,17.033823529411762,4.412058823529412,0,0,2,2,9,14.183686982691514,13.41288942544214
25,Mistral-Small-3.1-24B-2503,13,68,459.0,459.0,6.750147058823529,14.406323529411766,4.4119117647058825,0,0,2,2,9,14.07382371669224,13.022984475936568
26,deepseek-chat,13,68,838.0,838.0,12.323970588235294,26.332352941176467,5.882499999999999,0,1,0,1,9,21.1391238837759,16.417221895318054
28,Qwen3-32B-Non-Thinking,13,68,621.0,621.0,9.133088235294117,17.989411764705885,4.412058823529412,0,0,1,1,9,14.952545026582921,14.144145609496196
30,Llama-3.3-70B-Instruct,13,68,592.0,592.0,8.705441176470588,21.861029411764708,2.941176470588235,0,0,1,1,9,16.604527956282194,16.08293165343865
31,DeepSeek-R1-Distill-Qwen-14B,13,68,569.0,569.0,8.36735294117647,15.400882352941172,2.695588235294118,0,0,1,1,9,16.133515655578677,11.62595534248216
29,DeepSeek-R1-Distill-Qwen-32B,13,68,596.0,596.0,8.764117647058825,19.360294117647058,0.0,0,0,1,1,9,16.143738267696243,11.432497486458749
33,Llama-4-Scout,13,68,471.0,471.0,6.927205882352941,16.946323529411764,2.9413235294117643,0,0,1,1,9,15.020295299260267,13.256258334057412
32,Qwen2.5-72B,13,68,507.0,507.0,7.456029411764706,19.111323529411763,2.941029411764706,0,0,1,1,9,13.691628045666496,11.830147307305896
34,Qwen3-14B-Non-Thinking,13,68,298.0,298.0,4.382352941176471,12.582647058823529,1.4705882352941175,0,0,1,1,9,10.791428238154472,10.370766592863005
35,Qwen3-4B-Non-Thinking,13,68,281.0,281.0,4.132352941176471,10.037058823529414,2.941029411764706,0,0,1,1,9,9.515156792461882,6.650801859055693
36,seed-oss_512,13,68,280.0,280.0,4.118235294117647,9.683529411764704,1.4708823529411763,0,0,1,1,9,12.002522060427165,11.538485162312325
37,Qwen3-4B,13,68,494.0,494.0,7.26485294117647,19.660000000000004,2.941176470588235,0,0,0,0,9,11.567921042195298,10.463049816249129
40,Codestral-22B-v0.1,13,68,394.0,394.0,5.794411764705882,10.461470588235294,2.695588235294118,0,0,0,0,9,12.09856420609299,9.808521269806032
39,seed-oss_1024,13,68,410.0,410.0,6.02985294117647,13.815882352941177,4.412058823529412,0,0,0,0,9,11.61602253285469,12.35118131301317
38,Qwen2.5-Coder-32B-Instruct,13,68,460.0,460.0,6.764411764705883,17.532500000000002,2.941470588235294,0,0,0,0,9,10.545031047833644,7.5997885535473655
45,Qwen3-8B-Non-Thinking,13,68,163.0,163.0,2.3970588235294117,6.8583823529411765,0.0,0,0,0,0,9,7.204589532698714,9.778695933664789
41,seed-oss_0,13,68,289.0,289.0,4.25,9.237794117647057,2.941470588235294,0,0,0,0,9,9.150285500401047,9.713865869316786
42,DeepSeek-Coder-V2-Lite-Instruct,13,68,277.0,277.0,4.074117647058823,9.950882352941177,0.0,0,0,0,0,9,8.065294970132932,6.594241779912376
43,Llama-3.1-8B-Instruct,13,68,265.0,265.0,3.8970588235294117,7.878676470588235,0.0,0,0,0,0,9,8.849749471704563,7.895081515975759
44,Qwen3-30B-Non-Thinking,13,68,247.0,247.0,3.631470588235294,12.67985294117647,1.4705882352941175,0,0,0,0,9,6.609281685514663,5.327147264718481
54,claude-haiku-4.5,3,11,233.0,233.0,21.184545454545454,36.983636363636364,0.0,0,0,0,0,2,17.996858341271036,15.068682007319397
46,Qwen2.5-Coder-7B-Instruct,11,62,126.0,126.0,2.03241935483871,5.901774193548386,1.6129032258064515,0,0,0,0,8,1.8856392827255208,1.859473138362303
56,OlympicCoder-32B,2,12,125.0,125.0,10.415000000000001,25.645,0.0,0,0,0,0,2,11.532331511839708,11.532331511839708
47,DeepSeek-R1-Distill-Llama-8B,13,68,7.0,7.0,0.10279411764705883,1.0935294117647059,0.0,0,0,0,0,9,4.256332856297459,3.173570592052041
48,DeepSeek-R1-Distill-Qwen-7B,12,60,0.0,0.0,0.0,0.34750000000000003,0.0,0,0,0,0,8,4.531865085052545,3.893022843544009
