Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
seed-oss_1024,713.0,9,2,1,22.22222222222222,23.790457123790457,None,711.0,1.0,1.0,28,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-32B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,43,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen2.5-Coder-32B-Instruct,539.0,9,1,4,11.11111111111111,17.98465131798465,None,356.0,163.0,20.0,29,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-8B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,44,USACO,2023,combined,USACO-2023-January_Contest-combined
Llama-3.3-70B-Instruct,498.0,9,1,2,11.11111111111111,16.616616616616618,None,334.0,163.0,1.0,30,USACO,2023,combined,USACO-2023-January_Contest-combined
Mistral-Large-Instruct-2411,498.0,9,1,2,11.11111111111111,16.616616616616618,None,334.0,163.0,1.0,31,USACO,2023,combined,USACO-2023-January_Contest-combined
seed-oss_512,474.0,9,1,3,11.11111111111111,15.815815815815814,None,334.0,139.0,1.0,32,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-4B-Non-Thinking,458.0,9,1,2,11.11111111111111,15.281948615281948,None,456.0,1.0,1.0,33,USACO,2023,combined,USACO-2023-January_Contest-combined
DeepSeek-R1-Distill-Llama-8B,369.0,9,0,2,0.0,12.312312312312311,None,367.0,1.0,1.0,34,USACO,2023,combined,USACO-2023-January_Contest-combined
seed-oss_0,355.0,9,1,1,11.11111111111111,11.845178511845178,None,334.0,20.0,1.0,35,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen2.5-72B,137.0,9,0,3,0.0,4.5712379045712375,None,45.0,91.0,1.0,36,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen2.5-Coder-14B-Instruct,85.0,9,0,3,0.0,2.8361695028361695,None,45.0,20.0,20.0,37,USACO,2023,combined,USACO-2023-January_Contest-combined
Mistral-Small-3.1-24B-2503,66.0,9,0,2,0.0,2.2022022022022023,None,45.0,20.0,1.0,38,USACO,2023,combined,USACO-2023-January_Contest-combined
Codestral-22B-v0.1,66.0,9,0,2,0.0,2.2022022022022023,None,45.0,20.0,1.0,39,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen2.5-Coder-7B-Instruct,44.0,9,0,2,0.0,1.4681348014681348,None,23.0,20.0,1.0,40,USACO,2023,combined,USACO-2023-January_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,41,USACO,2023,combined,USACO-2023-January_Contest-combined
DeepSeek-R1-Distill-Qwen-7B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,45,USACO,2023,combined,USACO-2023-January_Contest-combined
Llama-3.1-8B-Instruct,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,47,USACO,2023,combined,USACO-2023-January_Contest-combined
