Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
DeepSeek-R1-Distill-Qwen-14B,0.0,3,0,0,0.0,0.0,None,0.0,34,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Qwen-32B,0.0,3,0,0,0.0,0.0,None,0.0,32,USACO,2024,platinum,USACO-2024-December_Contest-platinum
seed-oss_0,0.0,3,0,0,0.0,0.0,None,0.0,35,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Mistral-Large-Instruct-2411,0.0,3,0,0,0.0,0.0,None,0.0,36,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Codestral-22B-v0.1,0.0,3,0,0,0.0,0.0,None,0.0,37,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen2.5-72B,0.0,3,0,0,0.0,0.0,None,0.0,38,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Llama-3.1-8B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,39,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-Coder-V2-Lite-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,40,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-4B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,41,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen2.5-Coder-7B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,42,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-8B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,46,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen2.5-Coder-14B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,43,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Mistral-Small-3.1-24B-2503,0.0,3,0,0,0.0,0.0,None,0.0,44,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Qwen-7B,0.0,3,0,0,0.0,0.0,None,0.0,47,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Llama-8B,0.0,3,0,0,0.0,0.0,None,0.0,48,USACO,2024,platinum,USACO-2024-December_Contest-platinum
