Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
Qwen3-4B,625.0,9,1,3,11.11111111111111,20.854187520854186,None,334.0,68.0,223.0,22,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
deepseek-chat,616.0,9,0,7,0.0,20.553887220553886,None,237.0,56.0,323.0,23,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Llama-70B,482.0,9,1,2,11.11111111111111,16.082749416082752,None,376.0,1.0,105.0,24,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Llama-4-Scout,448.0,9,0,6,0.0,14.94828161494828,None,298.0,68.0,82.0,25,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
seed-oss_4096,436.0,9,1,1,11.11111111111111,14.54788121454788,None,334.0,1.0,101.0,26,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
seed-oss_2048,414.0,9,0,5,0.0,13.813813813813812,None,324.0,56.0,34.0,27,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-32B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,44,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-30B-Non-Thinking,353.0,9,0,4,0.0,11.778445111778444,None,251.0,101.0,1.0,28,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
seed-oss_1024,312.0,9,0,3,0.0,10.41041041041041,None,210.0,1.0,101.0,29,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen2.5-Coder-14B-Instruct,281.0,9,0,5,0.0,9.376042709376042,None,98.0,101.0,82.0,30,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,258.0,9,0,2,0.0,8.608608608608609,None,1.0,68.0,189.0,31,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen2.5-Coder-32B-Instruct,249.0,9,0,4,0.0,8.308308308308309,None,43.0,101.0,105.0,32,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
OlympicCoder-7B,245.0,9,0,4,0.0,8.174841508174842,None,1.0,101.0,143.0,41,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Llama-3.3-70B-Instruct,239.0,9,0,4,0.0,7.974641307974642,None,98.0,101.0,40.0,33,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
seed-oss_0,231.0,9,0,3,0.0,7.707707707707708,None,196.0,1.0,34.0,34,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
seed-oss_512,217.0,9,0,3,0.0,7.240573907240575,None,182.0,1.0,34.0,35,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-8B-Non-Thinking,174.0,9,0,2,0.0,5.805805805805806,None,1.0,68.0,105.0,36,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Mistral-Large-Instruct-2411,137.0,9,0,3,0.0,4.5712379045712375,None,29.0,68.0,40.0,37,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-14B-Non-Thinking,136.0,9,0,3,0.0,4.537871204537871,None,1.0,101.0,34.0,38,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen2.5-72B,131.0,9,0,3,0.0,4.371037704371037,None,29.0,101.0,1.0,39,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-4B-Non-Thinking,109.0,9,0,2,0.0,3.63697030363697,None,1.0,68.0,40.0,40,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Mistral-Small-3.1-24B-2503,98.0,9,0,2,0.0,3.2699366032699366,None,29.0,68.0,1.0,41,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,92.0,9,0,3,0.0,3.069736403069736,None,29.0,23.0,40.0,42,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen2.5-Coder-7B-Instruct,25.0,9,0,1,0.0,0.8341675008341675,None,1.0,23.0,1.0,43,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-7B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,45,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,46,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Codestral-22B-v0.1,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,47,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Llama-3.1-8B-Instruct,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,48,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
